title,year,department,award,film,img_link,film_link,Original title,Directed by,Country,Year of production,Running time,Category,Techniques used,Version,Process,Target public,Production,Distribution,Artistic direction,Script,Graphics,Storyboard,Layout,Animation,Compositing,Music,Sound,Editing,Overview,Voice,Sets,Camera,Other credits,Based on
Awards,2021,Short films,"""Off-Limits"" Award",Tunable Mimoid,https://www.annecy.org/resources/images/m/20212157_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212157,Tunable Mimoid,Vladimir TODOROVIC,Australia,2020,06 min 51 s,Short film,3D computer,Without dialogue or commentary,Colour,All audiences,"HOOPSNAKE STUDIO, Vladimir TODOROVIC",,,,,,,,,Brian O'Reilly,,,"In this experiment, we used a mimoid sample from Solaris' ocean and measured its reaction to several types of non-ionizing and ionizing radiation.",,,,,
Awards,2021,TV and commissioned films,Cristal for a TV Production,Vanille,https://www.annecy.org/resources/images/m/20210868_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210868,Vanille,Guillaume LORIN,"France, Switzerland",2020,30 min 41 s,TV special,"special effects, 2D computer, photos, diverse techniques, live action",Original French version English subtitles,Colour,"Kids, Family","FOLIMAGE, Reginald DE GUILLEBON, NADASDY FILM SARL, Nicolas BURLET","FOLIMAGE, Jérémy MOURLAM, PRIME ENTERTAINMENT GROUP, Alexandra MARGUERITE",Guillaume Lorin,"Guillaume Lorin, Aurore Auguste, Antoine Lanciaux",Guillaume Lorin,"Guillaume Lorin, Rémi Chayé, Emilie Sengelin","Titouan Bordeau, Camille Chao, Sylvie Léonard Victorino, Tom Viguier",Jean-Charles Mbotti Malolo,Michaël Devillaz,"Chassol, Tricia Evy","Loïc Burkhardt, Mathieu Langlet",Catherine Aladenise,"Vanille, a young Parisian girl recently arrived in Guadeloupe, dives in an adventure tinged with mystery, meeting picturesque characters. Holidays that promise to be rich in twists and turns!","Marie-Eva Phaan, Macéo Carole, Tricia Evy, Hippomène Léauva",Darshan Fernando,Sara Sponga,,
Awards,2021,TV and commissioned films,Jury Award for a TV Series,"Japan Sinks: 2020 ""The Beginning of the End""",https://www.annecy.org/resources/images/m/20212708_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212708,"Japan Sinks: 2020 ""The Beginning of the End""",Masaaki YUASA,Japan,2020,25 min 29 s × 10 episodes,TV serie,2D computer,Original Japanese version French subtitles,Colour,"Teens, Adults, Young adults","Kensuke ZUSHI, Noriyasu UEKI, Kazuhito MATSUMURA, SCIENCE SARU, Eunyoung CHOI",,Naoya Wada,Toshio Yoshitaka,,,,,Toshikazu Hisano,Kensuke Ushio,Eriko Kimura,Kiyoshi Hirose,"After catastrophic earthquakes devastate Japan, one family's resolve is tested on a journey of survival through the sinking archipelago.",,,,Satoshi Hashimoto,
Awards,2021,TV and commissioned films,Jury Award for a TV Special,Maman pleut des cordes,https://www.annecy.org/resources/images/m/20211006_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211006,Maman pleut des cordes,Hugo DE FAUCOMPRET,France,2021,29 min,TV special,"drawing on paper, special effects, 2D computer",Original French version English subtitles,Colour,Kids,"LAÏDAK FILMS, Antoine LIÉTOUT, Ivan ZUBER, DANDELOOO","LES FILMS DU PRÉAU, Emmanuelle CHEVALIER, DANDELOOO, Emmanuèle PETRY-SIRVIN",,"Hugo de Faucompret, Lison D'Andréa",,,Camille Chao,Eva Lusbaronian,Christophe Gautry,Pablo Pico,Baptiste Boucher,Benjamin Massoubre,"Jane, 8 years old, is a strong-minded little girl. Her mother, however, is suffering from depression. She decides to get help, and sends Jane to spend Christmas at her grandmother's, in the countryside.","Yolande Moreau, Arthur H, Céline Sallette, Siam Georget Rolland",Arthus Pilorget,Marianne Chazelas,Assistante réalisation : Marianne Chazelas,
Awards,2021,TV and commissioned films,Cristal for a Commissioned Film,"Kai ""A Little Too Much""",https://www.annecy.org/resources/images/m/20211009_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211009,"Kai ""A Little Too Much""",Martina SCARPELLI,USA,2020,03 min 44 s,Music video,2D computer,Original English,,"Adults, Young adults",Martina SCARPELLI,"MIYU DISTRIBUTION, Luce GROSJEAN",,,,,,,,Kai,,,"In an imaginary place, a woman let's herself go, and in so doing overcomes her fears about herself. She discovers her body, embraces her emotions, and learns how to accept everything that makes her who she is.",,,,,
Awards,2021,TV and commissioned films,Jury Award for a Commissioned Film,"Hjelp, vi har en blind pasient",https://www.annecy.org/resources/images/m/20212430_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212430,"Hjelp, vi har en blind pasient",Robin JENSEN,Norway,2021,01 min 32 s,"Educational, scientific or industrial film",puppets,Original Norwegian version English subtitles,Colour,Adults,"MIKROFILM AS, Lise FEARNLEY",,Robin Jensen,Robin Jensen,,Robin Jensen,,Margrethe Danielsen,Cathinka Tanberg,,Yvonne Stenberg,Robin Jensen,Three films made for The Norwegian Association of the Blind and Partially Sighted.,,"Robin Jensen, Claudia Munksgaard-Palmqvist, Margrethe Danielsen",Janne Karin Hansen,,
Awards,2021,Graduation films,Cristal for a Graduation Film,Hippocampus,https://www.annecy.org/resources/images/m/20210304_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210304,Hippocampus,Zehao LI,China,2020,07 min 49 s,Graduation short film,drawing on paper,Original Chinese version English subtitles,,Family,"CHINA ACADEMY OF ART, Hui HAN",,Zehao Li,Zehao Li,Zehao Li,Zehao Li,Zehao Li,"Zehao Li, Jiadong Liu",,Zhixuan Shi,Zehao Li,Zehao Li,"Through childhood recordings, grandmother's narration, and family videos, I tried to describe why the fig tree in my hometown disappeared, triggering thoughts about memory and how to forget.",,,,,
Awards,2021,Graduation films,Jury Award,Avant,https://www.annecy.org/resources/images/m/20211376_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211376,Avant,Marcell MOSTOHA,Hungary,2021,03 min 41 s,Graduation short film,drawing on paper,Without dialogue or commentary,Colour,"Adults, Young adults","MOME - MOHOLY - NAGY UNIVERSITY OF ART AND DESIGN, József FÜLÖP",,,,,,,,,,,,"I work with the interaction of space, and being in it, and the energies associated with them. The state of rest, then tipping over from it, and then returning to it again.",,,,,
Awards,2021,Graduation films,"Jury Distinction ""Outstanding Art Direction""",La Confiture de papillons,https://www.annecy.org/resources/images/m/20211970_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211970,La Confiture de papillons,Shih-Yen HUANG,"France, Taiwan",2021,06 min 19 s,Graduation short film,drawing on paper,Original French version English subtitles,Colour,"Teens, Adults, Family, Young adults","Juliette COURTILLIER, ENSAD - ÉCOLE NATIONALE SUPÉRIEURE DES ARTS DÉCORATIFS, Shih-Yen HUANG","MIYU DISTRIBUTION, Luce GROSJEAN",Shih-Yen Huang,Shih-Yen Huang,Shih-Yen Huang,Shih-Yen Huang,,Shih-Yen Huang,Gustave Carène,Gustave Carène,Théo  Serrer,Shih-Yen Huang,A young girl describes her father and his relationship with all his pets that he never really knew how to look after.,Yi-Han Jen,Shih-Yen Huang,,,
Awards,2021,VR,Cristal for the Best VR Work,Replacements (Penggantian),https://www.annecy.org/resources/images/m/20210653_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210653,Replacements (Penggantian),Jonathan HAGARD,"Germany, Indonesia, Japan",2020,12 min,Short film,diverse techniques,Without dialogue or commentary,Colour,"Teens, Adults, Kids, Family, Young adults, Preschool","KAMPUNG AYU, Jonathan HAGARD","DIVERSION CINEMA, Agata DI TOMMASO",,,,,,,,,,,"This depicts a Javanese family routinely observing their neighborhood day after day, generation after generation, replacement after replacement. it's a VR story about roots, time and change.",,,,,
Awards,2021,Special Prizes,City of Annecy Award,Clara with a Mustache,https://www.annecy.org/resources/images/m/20210650_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210650,Clara with a Mustache,Ilir BLAKCORI,Kosovo,2021,10 min,Short film,3D computer,Original English,Colour,"Adults, Young adults","MOLOS, Ilir BLAKCORI",,Vala Blakcori,Ilir Blakcori,,Veli Blakcori,,Vala Blakcori,Aleksandar Petkov,Romain Zante,Alban Telaku,,"We begin with its main character - a 100 Deutsche Mark, and its beautiful portrait of Clara Schumann. This banknote travels from one person to another, unveiling their stories and perspectives.",,,,,
Awards,2021,Special Prizes,YouTube Award,Wochenbett,https://www.annecy.org/resources/images/m/20210196_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210196,Wochenbett,Henriette RIETZ,Germany,2020,04 min 36 s,Short film,2D computer,Original German version English subtitles,Colour,"Adults, Family",Henriette RIETZ,"INTERFILM BERLIN SALES, Cord DUEPPE",Henriette Rietz,Henriette Rietz,Henriette Rietz,,,Henriette Rietz,,David Kamp,David Kamp,,"Shows the chaotic phase in life of a new mother. Pumped up with hormones and lacking sleep, this intense time has burned deep into the protagonist's heart.",Charlotte Roche,,,,
Awards,2021,Special Prizes,André-Martin Award for a French Short Film,Maalbeek,https://www.annecy.org/resources/images/m/20210283_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210283,Maalbeek,Ismaël Joffroy CHANDOUTIS,France,2020,16 min 12 s,Short film,3D computer,Original French version English subtitles,Colour,"Adults, Young adults","FILMS GRAND HUIT, Pauline SEIGLAND, Lionel MASSOL, FILMS À VIF, Maxence VOISEUX","SQUARE EYES, Wouter JANSEN",,,,,,,,,,,"Survivor but amnesiac from the attack at Maalbeek metro station on 22nd March 2016 in Brussels, Sabine is looking for the missing image of an over-mediatized event of which she has no memory.",,,,,
Awards,2021,Special Prizes,André-Martin Award for a French Feature,L'Extraordinaire Voyage de Marona,https://www.annecy.org/resources/images/m/20193057_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20193057,L'Extraordinaire Voyage de Marona,Anca DAMIAN,"Romania, France, Belgium",2019,01 h 32 min,Feature film,"cut-outs,  2D/3D computer",French English subtitles,Colour,Family,"APARTE FILM, Anca DAMIAN, SACREBLEU PRODUCTIONS, Ron DYENS","CHARADES, Carole BARATON","Gina Thorstensen, Sarah Mazzetti",Anghel Damian,Brecht Evens (création des personnages/Character Designer),,,"Dan Panaitescu, Hefang Wei, Mathieu Labaye, Chloé Roux, Claudia Ilea",,Pablo Pico,"Clément Badin, Régis Diebold, Mathieu Z’Graggen, Lionel Guenoun",,"Victim of an accident, a small female dog remembers her different masters that she has unconditionally loved. Due to her unfailing empathy, her life becomes a lesson about love.",Lizzie Brochere,,,Bruno Salomone,
Awards,2021,Special Prizes,"Best Original Music Award for a Short Film, sponsored by the SACEM",Le Réveil des insectes,https://www.annecy.org/resources/images/m/20211010_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211010,Le Réveil des insectes,"Stéphanie LANSAQUE, François LEROY",France,2020,14 min 09 s,Short film,2D computer,Original Cantonese version French subtitles,Colour,Adults,"OFFSHORE, Fabrice PREEL-CLEACH","MANIFEST, Anais COLPIN","Stéphanie Lansaque, François Leroy","Stéphanie Lansaque, François Leroy","Stéphanie Lansaque, François Leroy","Stéphanie Lansaque, François Leroy",,"Stéphanie Lansaque, François Leroy",,Denis Vautrin,Yann Lacan,,"Mr Lam is an old man, losing his memory since his wife died. The last day of ""the insects' hibernation"", he receives an unexpected visit from Ms. Meng, Taoist exorcist determined to chase demons out of his head.",,,,,
Awards,2021,Special Prizes,"Best Original Music Award for a Feature Film, sponsored by the SACEM",Flee,https://www.annecy.org/resources/images/m/20211791_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211791,Flee,Jonas POHER RASMUSSEN,"Denmark, France, Norway, Sweden",2020,01 h 23 min,Feature film,"2D computer, live action",Original Danish / Russian / French / English subtitles,Colour,"Adults, Young adults","SUN CREATURE STUDIO, Charlotte DE LA GOURNERIE, FINAL CUT FOR REAL, Monica HELLSTRÖM, VIVEMENT LUNDI !, Jean-François LE CORRE, Mathieu COURTOIS, MER FILMS, Maria EKERHOVD, MOST FILM, Charlotte MOST","HAUT ET COURT DISTRIBUTION, Laure CAILLOL, CINEFIL, Olivier TOURNAUD","Jess Nicholls, Guillaume Dousse",Jonas Poher Rasmussen,"Mikkel Sommer, Simon Rouby, Gilles Cuvelier","Kenneth Ladekjaer, Mads Juul, Ben Marsaud, Xavier Ramonède","Leïla Courtillon, Vincent Chassé, Gaëlle Diot, Cécilia Gin, Julien Leconte","Kenneth Ladekjaer, Erik Schmidt, Stine Marie Buhl, Andrei  Sitari, Cyrille Chauvin, Ilan Wexiø Hatukah, Michael Helmuth Hansen, Nathan Otaño, Pierre Rütz, Laura Büchert Schjødt, Mette Ilene Holmriis, Pernille Kjaer, Thibaud  Petitpas, Théo Boubounelle","Sylvain Lorent, Johanna Bessière, Florent  Bonneviale, Quentin Chevrel, Rodolphe  Dubreuil, Morgane Esnault, Cécilia  Gin, Thibaut  Richard, Jean-Claude Rozec, Adrian  Walt, Gabrielle  Locre, Lasse  Smith, Andreas Severin",Uno Helmersson,"Fredrik Jonsäter, Edward Björner",Janus Billeskov Jansen,"This is the true story of a man, Amin, on the verge of marriage that compels him to reveal his hidden past for the first time.  A secret he has been hiding for over twenty years threatens to ruin the life he has built for himself. He recounts his dramatic journey as a child refugee from Afghanistan to Denmark.",,,,,
Awards,2021,Special Prizes,FIPRESCI Award,Angakuksajaujuq,https://www.annecy.org/resources/images/m/20211981_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211981,Angakuksajaujuq,Zacharias KUNUK,Canada,2021,20 min 50 s,Short film,puppets,Original Inuktitut version English subtitles,Colour,"Teens, Adults, Young adults","Neil CHRISTOPHER, Zacharias KUNUK, TAQQUT PRODUCTIONS INC., Nadia MIKE, ISUMA, Jonathan FRANTZ","ISUMA, Jonathan FRANTZ",Nikki Woolsey,"Zacharias Kunuk, Jonathan Frantz",,"Leslie Pulsifer, Lisa Wang",,,,Beatrice Deer,Michael Carlucci,,"A young shaman must face her first test: a trip underground to visit Kannaaluk, The One Below, who holds the answers to why a community member has become ill.","Madeline Ivalu, Lucy Tulugarjuk, Jacky Qrunnut",,,,
Awards,2021,Special Prizes,CANAL+ Junior Jury Award,Un caillou dans la chaussure,https://www.annecy.org/resources/images/m/20211100_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211100,Un caillou dans la chaussure,Éric MONTCHAUD,"France, Switzerland",2020,11 min 28 s,Short film,puppets,Without dialogue or commentary,Colour,All audiences,"XBO FILMS, Luc CAMILLI, NADASDY FILM SARL, Nicolas BURLET","AUTOUR DE MINUIT, Annabel SEBAG",,Eric Montchaud,,,,,,Pierre Bastien,Loic Burkhardt,Santi Minasi,"A pupil turns up to his new class for the first time. However, this pupil is different to the others, he's a frog in a class of rabbits.",,,,,
Awards,2021,Special Prizes,Young Audience Award,Kiko et les Animaux,https://www.annecy.org/resources/images/m/20210870_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210870,Kiko et les Animaux,Yawen ZHENG,"France, Switzerland",2020,07 min 28 s,Short film,2D computer,Original French version English subtitles,Colour,"Kids, Family, Preschool","FOLIMAGE, Reginald DE GUILLEBON, NADASDY FILM SARL, Nicolas BURLET","FOLIMAGE, Jérémy MOURLAM",Yawen Zheng,Yawen Zheng,Yawen Zheng,,,"Titouan Bordeau, Toby Jackman, Lisa Matuszak, Morten Riisberg Hansen",Guillaume Levasseur,Nathanaël Bergèse,Flavien Van Haezevelde,Antoine Rodet,"Kiko is nasty to all the animals. He doesn't stop bullying them, even the tiniest mouse gets picked on! How can they make him understand that they are just like him, capable of feeling emotions, love, and deserve respect?","Colin Larue Lucas, Nathalie Fort, Emma Demire, Ana Tessier, Lila Tessier, Vincent Tessier",Eloïc Gimenez,,,
Awards,2021,Special Prizes,Junior Jury Award for a Graduation Film,Mon ami qui brille dans la nuit,https://www.annecy.org/resources/images/m/20211133_1.png,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211133,Mon ami qui brille dans la nuit,"Grégoire DE BERNOUIS, Jawed BOUDAOUD, Simon CADILHAC, Hélène LEDEVIN",France,2020,08 min 47 s,Graduation short film,2D computer,Original French version English subtitles,Colour,"Adults, Young adults","GOBELINS, L'ÉCOLE DE L'IMAGE, Moïra MARGUIN","MIYU DISTRIBUTION, Luce GROSJEAN",,"Grégoire de Bernouis, Jawed Boudaoud, Simon Cadilhac, Hélène Ledevin",,,,"Grégoire de Bernouis, Jawed Boudaoud, Simon Cadilhac, Hélène Ledevin",,Arthur Dairaine,,,"A ghost loses its memory after being struck by lightning. It meets Arthur, who tries to help it.",,,,,
