year,Original title,Directed by,Country,Year of production,Running time,Category,Techniques used,Version,Process,Target public,Production,Distribution,Artistic direction,Script,Graphics,Storyboard,Layout,Animation,Compositing,Music,Sound,Editing,Overview,department,Voice,Sets,Based on,Camera,Other credits,Development,Character design,Animation directors,Series creator(s),Script writer,Graphic designer
2021,The Deer King,"Masashi ANDO, Masayuki MIYAJI",Japan,2020,01 h 54 min,Feature film,2D/3D computer,Original Japanese version French / English subtitles,Colour,"Teens, Kids, Young adults","KADOKAWA PICTURES, INC., Jun FUKUDA, NIPPON TELEVISION NETWORK CORPORATION, Naoto FUJIMURA, PRODUCTION I.G, Keiko MATSUSHITA","STAR INVEST FILMS FRANCE, Gregory OUANICHE, ANIME LTD., Sylvie BREVIGNON",Hiroshi Ohno,Taku Kishimoto,Masashi Ando,,,"Masashi Ando, Toshiyuki Inoue",,Harumi Fuuki,,,"Van, the former leader of a warrior corps who fight for their homeland, is captured and seized as a slave. One night, vicious mountain dogs attack, causing a mysterious plague. Van escapes the chaos, helping a young girl who he decides to raise. Meanwhile, a doctor seeks a cure for this disease.",Official Feature Films,,,Nahoko Uehashi,,,,,,,,
2021,Absolute Denial,Ryan BRAUND,United Kingdom,2021,01 h 11 min,Feature film contrechamp,"drawing on cels, drawing on film",Original English,,"Teens, Adults, Young adults","BRIDGE WAY FILMS, Chris HEES, ABSOLUTE DENIAL FILMS LTD., Ryan BRAUND",,,Ryan Braund,,Ryan Braund,,Ryan Braund,,Troy Russell,,Ryan Braund,"An obsessive, genius programmer sacrifices everything in his personal and professional life to build a computer of unprecedented power. After weeks in isolation and watching his life crumble around him, he must now confront the ever-increasing problem of a machine that is much smarter than himself.",Feature Films Contrechamp,"Nick Eriksen, Jeremy J. Smith-Sebasto, Harry Dyer, Heather Gonzalez, Jef Leeson",,,,,,,,,,
2021,Archipel,Félix DUFOUR-LAPERRIÈRE,Canada,2021,01 h 12 min,Feature film contrechamp,"drawing on paper, 2D computer, rotoscope, live action",Original French version English subtitles,Colour,,"EMBUSCADE FILMS, Nicolas DUFOUR-LAPERRIERE","LA DISTRIBUTRICE DE FILMS, Serge ABIAAD",,,,,,"Bogdan Anifrani, Julie Charrette, Salma-Lou Chila-Najari, Eva Cvijanovic, Félix Dufour-Laperrière, Jens Hahn, Phillip Lockerby, Véronique Paquette, Hyun Jin Park, Rachel Samson, Rodolphe St-Gelais, Malcolm Sutherland, Rui Ting-Ji",,Feu Doux (Stéphane Lafleur et Christophe Lamarche-Ledoux),"Olivier Calvert, Jean-Paul Vialard (Onf)",Félix Dufour-Laperrière,"A true animated film about invented islands. About an imaginary, linguistic, and political territory. About a real or imaginary country, or something in between. ""Archipelago"" is a feature film drawn free hand and with meticulous language, that tells and dreams of a place and its inhabitants, to tell and dream a little of our world and its times.",Feature Films Contrechamp,"Florence Blain Mbaye, Mattis Savard-Verhoeven",,,,,,,,,,
2021,Bob Cuspe - Nós Não Gostamos de Gente,Cesar CABRAL,Brazil,2021,01 h 30 min 29 s,Feature film contrechamp,puppets,Original Portuguese version English subtitles,Colour,"Adults, Young adults","COALA FILMES, Ivan MELO","VITRINE FILMES, Felipe LOPES",,,,,,,,,,,"Bob Spit, a comic book character, lives in a post-apocalyptic desert inside the mind of his creator, the legendary Brazilian cartoonist Angeli. When Angeli decides to kill off Bob, the old punk leaves this wasteland and faces his creator.",Feature Films Contrechamp,,,,,,,,,,,
2021,Chicken of the Mound,Xi CHEN,"Germany, China",2021,01 h 23 min 39 s,Feature film contrechamp,"drawing on paper, puppets,  2D/3D computer, live action",Original English / Chinese version,Colour,"Teens, Adults, Young adults","CXFILM, Xi CHEN",,Xi Chen,Xi Chen,Xi Chen,Xi Chen,Xi Chen,Xi Chen,Xi Chen,Xi Chen,Xi Chen,Xi Chen,"A particularly curious chicken larva did not undergo the adult transformation and did not hide in the cave. Instead, it roamed the plains and mounds wearing robot armour.",Feature Films Contrechamp,Liangquan Yin,Xi Chen,,Xi Chen,,,,,,,
2021,City of Lost Things,Chih-Yen YEE,Taiwan,2020,01 h 30 min 45 s,Feature film contrechamp,3D computer,Original Mandarin version English subtitles,Colour,Teens,1 PRODUCTION FILM CO.,,,,,,,,,,,,"A 16-year-old struggling teenager, Leaf, runs away from home, skips classes and mysteriously ends up in a peculiar place, the City of Lost Things. There he meets Baggy, a 30-year-old plastic bag. Baggy never sees himself as just another piece of unwanted junk. He has a purpose in life - to lead his tribe to flee City of Lost Things.",Feature Films Contrechamp,,,,,,,,,,,
2021,Climbing,Hye-mi KIM,South Korea,2020,01 h 17 min 10 s,Feature film contrechamp,3D computer,Original Korean version English subtitles,Colour,Young adults,"KAFA - THE KOREAN ACADEMY OF FILM ARTS, Hye-mi KIM","M-LINE DISTRIBUTION, Jin PARK",,Hye-mi Kim,,Hye-mi Park,,,,Dong-uk Kim,Yeong-bin Lee,Hye-mi Kim,"Se-hyeon, a professional climber who recently recovered from a car accident, discovers that she's pregnant just before the World Championships. She struggles to break free from the pressures of motherhood. Meanwhile, she receives texts from herself who's had a completely different life after the accident. Most importantly, she wants to keep her baby.",Feature Films Contrechamp,"Min-ji Kim, Song-i Park, Ji-won Gu, Ju-gwang Park",,,,,,,,,,
2021,Cryptozoo,Dash SHAW,USA,2021,01 h 35 min,Feature film contrechamp,"others, drawing on paper, diverse techniques",Original English,Colour,"Adults, Young adults","ELECTRIC CHINOLAND, Kyle MARTIN",,Jane Samborski,Dash Shaw,,,,"Emily Wolver, Johnny Dell'angelo, Emma Hadley, Triet Le",,John Carroll Kirby,,"Lance Edmands, Alex Abrahams","As cryptozookeepers struggle to capture a baku (a legendary dream-eating hybrid creature) they begin to wonder if they should display these rare beasts in the confines of a zoo, or if these mythical creatures should remain hidden and unknown.",Feature Films Contrechamp,"Lake Bell, Michael Cera, Alex Karpovsky, Zoe Kazan, Louisa Krause, Angeliki Papoulia",,,,,,,,,,
2021,Le Mont Fuji vu d'un train en marche,Pierre HÉBERT,Canada,2021,01 h 21 min 43 s,Feature film contrechamp,"others, live action",Without dialogue or commentary,Colour,Adults,Pierre HÉBERT,"VIDÉOGRAPHE DISTRIBUTION, Marion LÉVESQUE-ALBERT",Pierre Hébert,Pierre Hébert,,,,Pierre Hébert,,,,Pierre Hébert,"This is a poetic and animated meditation inspired by two trips the director made to Japan. Images and sounds from daily life as well as recordings of his performances, most notably one with the dancer-choreographer Teita Iwabushi. There is no story as such, but a formal construction with sound and images. What can be seen in Japan when Mount Fuji is invisible, lost in the clouds?",Feature Films Contrechamp,,,,,,,,,,,
2021,Meu Tio José,Ducca RIOS,Brazil,2021,01 h 29 min 01 s,Feature film contrechamp,2D computer,Original Portuguese version English subtitles,,"Teens, Adults, Young adults","ORIGEM PRODUTORA DE CONTEÚDO, Maria Luiza BARROS","TUCUMAN DISTRIBUIDORA DE FILMES, Priscila ROSARIO",,,,,,,,,,,"It begins in 1983 in Salvador city, with the attack against José, an ex-member of a left-wing political group. Meanwhile, his nephew Adonias is worried about an assignment his teacher has given him. Consequently, Adonias has to deal with his family's suffering, conflicts at school, and the anguish of having to write his school essay.",Feature Films Contrechamp,,,,,,,,,,,
2021,Affairs of the Art,Joanna QUINN,"United Kingdom, Canada",2021,16 min,Short film,drawing on paper,Original English version French subtitles,Colour,"Teens, Adults, Young adults","BERYL PRODUCTIONS INTERNATIONAL LTD., Les MILLS, ONF - OFFICE NATIONAL DU FILM DU CANADA, Michael FUKUSHIMA","ONF - OFFICE NATIONAL DU FILM DU CANADA, Élise LABBÉ",,Les Mills,,,,"Joanna Quinn, James Nutting","Mia Rose Goddard, Fran Breslin",Benjamin Talbott,,Mia Rose Goddard,"Beryl's back in ""Affairs of the Art"", which showcases one family's eccentric yet endearing obsessions with everything from drawing to screw threads and pet taxidermy.",Official Short Films,"Menna Trussler, Brendan Charleson, Joanna Quinn, Mali Ann Rees",,,,,,,,,,
2021,Angakuksajaujuq,Zacharias KUNUK,Canada,2021,20 min 50 s,Short film,puppets,Original Inuktitut version English subtitles,Colour,"Teens, Adults, Young adults","Neil CHRISTOPHER, Zacharias KUNUK, TAQQUT PRODUCTIONS INC., Nadia MIKE, ISUMA, Jonathan FRANTZ","ISUMA, Jonathan FRANTZ",Nikki Woolsey,"Zacharias Kunuk, Jonathan Frantz",,"Leslie Pulsifer, Lisa Wang",,,,Beatrice Deer,Michael Carlucci,,"A young shaman must face her first test: a trip underground to visit Kannaaluk, The One Below, who holds the answers to why a community member has become ill.",Official Short Films,"Madeline Ivalu, Lucy Tulugarjuk, Jacky Qrunnut",,,,,,,,,,
2021,Bestia,Hugo COVARRUBIAS,Chile,2021,15 min,Short film,"animated objects, puppets",Without dialogue or commentary,Colour,"Adults, Young adults","TREBOL 3, Tevo DIAZ",,"Constanza Wette, Hugo Covarrubias","Martín Erazo, Hugo Covarrubias",Hugo Covarrubias,Matias Delgado,Hugo Covarrubias,"Matias Delgado, Hugo Covarrubias",,Ángela Acuña,,Hugo Covarrubias,"Ingrid is working in the Chilean Intelligence Directorate (DINA) in 1975. Her relationship with her dog, her body, her fears and frustrations reveal a grim fracture in her mind and in an entire country.",Official Short Films,,"Constanza Wette, Paula Baccelliere, Carla Calzadillas",,Hugo Covarrubias,,,,,,,
2021,Boxballet,Anton DYAKOV,Russia,2020,15 min 15 s,Short film,drawing on paper,Without dialogue or commentary,Colour,"Teens, Adults, Young adults","MELNITSA ANIMATION STUDIO, Alexander BOYARSKY, CTB FILM COMPANY, Sergey SELYANOV",,,"Anton Dyakov, Andrey Vasilyev",,,,,,,,,"One day, a delicate ballerina named Olya meets the rough, surly boxer Evgeny. The contrast between their worlds and their philosophies is so sharp that even the possibility of these two characters crossing paths seems incredible.",Official Short Films,,,,,,,,,,,
2021,Ce qui résonne dans le silence,Marine BLIN,France,2020,08 min 04 s,Short film,"drawing on paper, 2D computer",Original French version English subtitles,Colour,"Teens, Adults, Young adults","PAPY3D PRODUCTIONS, Richard VAN DEN BOOM","PAPY3D PRODUCTIONS, Richard VAN DEN BOOM",Marine Blin,Marine Blinblin,Marine Blin,Marine Blin,Marine Blin,"Marine Blin, Gilles Cuvelier",Marine Blin,Pierre Caillet,"Yan Volsy, Matthieu Langlet",Marine Blin,"Hiding death doesn't make it disappear. A young girl suffers from the adults' silences and feels dispossessed of her right to mourn. As an adult, she describes the tender gestures that bind her to the dead.",Official Short Films,Saâlla Kitar,Marine Blin,,Marine Blin,,,,,,,
2021,Comeback,Vladimir LESCHIOV,"Latvia, Lithuania",2021,07 min 55 s,Short film,2D computer,Without dialogue or commentary,Colour,Family,"LUNOHOD ANIMATION STUDIO, Vladimir LESCHIOV",,Vladimir Leschiov,Vladimir Leschiov,,,,,,Normand Roger,Pierre Yves Drapeau,,A long-lost childhood passion may return one day.,Official Short Films,,,,,,,,,,,
2021,Concatenation,Donato SANSONE,Italy,2020,01 min,Short film,2D computer,Without dialogue or commentary,Colour,"Adults, Young adults","MILKYEYES, Donato SANSONE","AUTOUR DE MINUIT, Annabel SEBAG",,Donato Sansone,,,,,,Enrico Sansone,Enrico Ascoli,Donato Sansone,A destructive sequence with infinite consequences.,Official Short Films,,,,,,,,,,,
2021,Concatenation 2 ‒Olympic Games,Donato SANSONE,Italy,2020,01 min 10 s,Short film,2D computer,Without dialogue or commentary,Colour,"Teens, Adults, Young adults","MILKYEYES, Donato SANSONE","AUTOUR DE MINUIT, Annabel SEBAG",,Donato Sansone,,,,Donato Sansone,,Enrico Ascoli,Enrico Ascoli,,A chain reaction as a new Olympic sport.,Official Short Films,,,,,,,,,,,
2021,Conversations with a Whale,Anna BERGMANN (DIT SAMO),Germany,2020,08 min 45 s,Short film,diverse techniques,Original English version French subtitles,Colour,Adults,"TIGER UNTERWEGS FILMPRODUKTION, Anna BERGMANN (DIT SAMO)",,,,,,,,,Merche Blasco,Merche Blasco,,"In this love letter to artists, their art and its audience, one filmmaker is confronted with rejection after rejection untill at last a beautiful fig tree bears sweet fruits.",Official Short Films,,,,,,,,,,,
2021,Dad is Gone,Pere GINARD,Spain,2020,03 min 44 s,Short film,diverse techniques,Without dialogue or commentary,Colour,"Adults, Young adults","WAKEFIELD, Pere GINARD",,,,,,,,,,,,Dad is gone. Dad is a ghost. Dad is a thing - spinning in his own skin.,Official Short Films,,,,,,,,,,,
2021,Dans la nature,Marcel BARELLI,Switzerland,2021,05 min,Short film,2D computer,Original French version English subtitles,Colour,"Teens, Adults, Kids, Young adults","NADASDY FILM SARL, Nicolas BURLET",,,,,,,,,,,,"In nature, a couple is a male and a female. Well, not always! A couple is also a female and a female. Or a male and a male. You may not know it, but homosexuality isn't just a human story.",Official Short Films,,,,,,,,,,,
2021,Darwin's Notebook,Georges SCHWIZGEBEL,Switzerland,2020,09 min 21 s,Short film,"drawing on cels, drawing on paper",Without dialogue or commentary,Colour,Adults,"STUDIO GDS, Georges SCHWIZGEBEL",,Georges Schwizgebel,Georges Schwizgebel,Georges Schwizgebel,,,Georges Schwizgebel,Jonathan Laskar,Judith Gruber-Stitzer,,,"The return of three Anglicized native people to their country, or the beginning of an encounter with the modern world that will destroy them.",Official Short Films,,,,,,,,,,,
2021,Der Lokführer,"Zuniel KIM, Christian WITTMOSER",Germany,2021,05 min 22 s,Short film,"drawing on paper, painting on paper",Original German version English subtitles,Colour,Adults,"Martin SCHMIDT, RAUMKAPSEL ANIMATION, Dennis STEIN-SCHOMBURG",,,,,Florian Maubach,,Elisabeth Zwimpfer,Dennis Stein-Schomburg,,Christian Wittmoser,,Throughout Bernd Ziegler's professional life he has killed six people because they threw themselves in front of his train. How does a train driver handle this?,Official Short Films,Christoph Steinau,,,,,,,,,,
2021,Easter Eggs,Nicolas KEPPENS,"Belgium, France, Netherlands",2021,14 min,Short film,2D computer,Original Dutch version English subtitles,Colour,"Adults, Young adults","ANIMAL TANK, Brecht VAN ELSLANDE, KA-CHING CARTOONS, Joost VAN DEN BOSCH, MIYU PRODUCTIONS, Emmanuel-Alain RAYNAL, Pierre BAUSSARON","MIYU DISTRIBUTION, Luce GROSJEAN",Nicolas Keppens,Nicolas Keppens,Nicolas Keppens,Nicolas Keppens,Nicolas Keppens,"Camiel Hermans, Pascal Vermeersch, Digna Van Der Put, Laura Piette, Sacha Brauner, Eno Swinnen, Mirte Tas, Carl Van Isacker, Tiemen Focke, Flore Van Holderbeke",Nicolas Keppens,"Greg Scheirlinckx, Antonio Carlos Jobim",Greg Scheirlinckx,Nicolas Keppens,"The Chinese restaurant is empty. The exotic birds' cage sits wide open. Two friends, Jason and Kevin, see this as an opportunity to catch and sell them for a lot of money.",Official Short Films,"Victor Polster, Rik Verheye",,,,,,,,,,
2021,Écorce,"Samuel PATTHEY, Silvain MONNEY",Switzerland,2020,15 min 03 s,Short film,drawing on paper,Without dialogue or commentary,Colour,"Adults, Young adults","DOK MOBILE, Mark OLEXA","INTERFILM BERLIN SALES, Cord DUEPPE, SQUARE EYES, Wouter JANSEN",,,,,,,,,,,"In a hidden place, the daily routine of a retirement home unfolds as time seems to stand still. The pencil-drawn residents come to life on paper.",Official Short Films,,,,,,,,,,,
2021,Have a Nice Dog!,Jalal MAGHOUT,"Germany, Syria",2020,13 min 14 s,Short film,"drawing on paper, 2D computer, diverse techniques",Original Arabic version English subtitles,Colour,"Adults, Young adults",Karsten MATERN,,Jalal Maghout,Jalal Maghout,Jalal Maghout,Jalal Maghout,,Jalal Maghout,Jalal Maghout,Dascha Dauenhauer,"Oscar Zöllner, Nicolas Voss",Jalal Maghout,"Trapped in Damascus, surrounded by war, a lonely man becomes increasingly lost in his fantasies of fleeing and the inner dialogues with his dog.",Official Short Films,"Husam Chadat, Eman Dwagy, Bassam Hashem",,,,,,,,,,
2021,Hold Me Tight,Mélanie ROBERT-TOURNEUR,"Belgium, France",2021,06 min,Short film,"drawing on paper, 2D computer",Without dialogue or commentary,Colour,Adults,"VIVI FILM, Viviane VANFLETEREN, LA CLAIRIÈRE PRODUCTION, Claire BEFFA","MIYU DISTRIBUTION, Luce GROSJEAN",,,,,,,,Lucas Verreman,,,"At the heart of a dark forest, two silhouettes meet, drawing each other together and pushing each other apart in an explosive nuptial parade. ""Hold Me Tight"" is a bitter sweet romance.",Official Short Films,,,,,,,,,,,
2021,Horacio,Caroline CHERRIER,France,2020,10 min 03 s,Short film,2D computer,Original French version English subtitles,Colour,"Teens, Adults, Young adults","IKKI FILMS, Edwina LIARD, Nidia SANTIAGO, INNERVISION","VARICOLOURED, Lara CASIRATI",Caroline Cherrier,Caroline Cherrier,Caroline Cherrier,Caroline Cherrier,"Hugo De Faucompret, Caroline Cherrier","Eva Lusbaronian, Valentin Stoll, Caroline Cherrier","Pierre Pino, Caroline Cherrier",Marie Cherrier,"Mathieu Z'Graggen, Régis Diebold","Stéphanie Sicard, Caroline Cherrier","Guillaume kills Horacio ""because he was shouting too loud."" At his trial, the vacuity of the motive disconcerts. During his 10 years in prison, Guillaume forgets this story that hadn't convinced anyone. When he gets out, someone starts making a fuss.",Official Short Films,"Spider Zed, Patricia Marmoras",,,,,,,,,,
2021,How to Be at Home,Andrea DORFMAN,Canada,2020,04 min 51 s,Short film,"drawing on paper, pixilation",Original English version French subtitles,Colour,All audiences,"NFB (ONF) - NATIONAL FILM BOARD OF CANADA, Annette CLARKE","ONF - OFFICE NATIONAL DU FILM DU CANADA, Élise LABBÉ",,Tanya Davis,,,,Andrea Dorfman,,"Tanya Davis, Daniel Ledwell",Sacha Ratcliffe,Andrea Dorfman,"Lean into loneliness - and know you're not alone in it. Filmmaker Andrea Dorfman reunites with poet Tanya Davis to craft tender and profound animation on the theme of isolation, providing a wise and soaringly lyrical sequel to their viral hit ""How to Be Alone"".",Official Short Films,Tanya Davis,,,,,,,,,,
